,components,training_error,testing_error,coefs
0,1,9.104615223552939,9.12685674215368,[0.00033144]
1,2,1.421283406381187,1.4190497526413073,[ 0.0003315  -0.00073238]
2,3,0.936949410568182,0.935553687931646,[ 0.00033154 -0.00073204  0.00043865]
3,4,0.9211448291192157,0.9199684387542773,[ 3.31537763e-04 -7.31942036e-04  4.36888518e-04  8.87529974e-05]
4,5,0.9006481928777685,0.9005694888266059,"[ 3.31528803e-04 -7.31914226e-04  4.39318680e-04  9.24945524e-05
  1.22290801e-04]"
5,6,0.7270113747654335,0.7258348315774857,"[ 3.31506764e-04 -7.33206996e-04  4.47114087e-04  8.76934871e-05
  1.47560058e-04  4.81988869e-04]"
6,7,0.5395321878342255,0.5404952684597603,"[ 3.31503094e-04 -7.32856903e-04  4.38899636e-04  7.94178601e-05
  1.59220606e-04  4.80783001e-04 -8.09995552e-04]"
7,8,0.5308710905895418,0.5331481677350609,"[ 3.31502769e-04 -7.32822353e-04  4.37610914e-04  7.59180492e-05
  1.59443605e-04  4.76855641e-04 -8.05368117e-04  2.67726075e-04]"
8,9,0.5244805171491747,0.5268188701977617,"[ 3.31502473e-04 -7.32785719e-04  4.37086446e-04  7.44259940e-05
  1.58534956e-04  4.72989329e-04 -8.09423891e-04  2.67248352e-04
 -2.45228463e-04]"
9,10,0.4995789266769318,0.5008834250638688,"[ 3.31500805e-04 -7.32756695e-04  4.37203433e-04  7.60644244e-05
  1.56288611e-04  4.72214568e-04 -8.23839105e-04  3.02451047e-04
 -2.37447866e-04 -5.22041620e-04]"
10,11,0.4987641344414786,0.4997628447732871,"[ 3.31500745e-04 -7.32753760e-04  4.37319609e-04  7.62590066e-05
  1.55908117e-04  4.71336456e-04 -8.23566174e-04  3.03347860e-04
 -2.39286887e-04 -5.20054580e-04  1.03131929e-04]"
11,12,0.49869091070855665,0.4996156870403508,"[ 3.31500758e-04 -7.32752663e-04  4.37313141e-04  7.62787786e-05
  1.55905377e-04  4.71406815e-04 -8.23562435e-04  3.03022781e-04
 -2.38806639e-04 -5.19874941e-04  1.02983197e-04 -3.21743742e-05]"
12,13,0.49854611726619036,0.49950471738542357,"[ 3.31500831e-04 -7.32750907e-04  4.37302385e-04  7.62580931e-05
  1.56002495e-04  4.71573856e-04 -8.23440272e-04  3.02129579e-04
 -2.37737156e-04 -5.20842700e-04  1.02024038e-04 -3.14931309e-05
  4.53405064e-05]"
13,14,0.498481064610242,0.49949397212768704,"[ 3.31500842e-04 -7.32750209e-04  4.37289471e-04  7.62413430e-05
  1.55976725e-04  4.71539545e-04 -8.23447345e-04  3.02211809e-04
 -2.36998343e-04 -5.20449066e-04  1.02415473e-04 -3.14734036e-05
  4.55059406e-05 -3.08218378e-05]"
14,15,0.498425143031846,0.4994261766695222,"[ 3.31500872e-04 -7.32749811e-04  4.37303326e-04  7.61873841e-05
  1.55961359e-04  4.71485856e-04 -8.23348694e-04  3.02060509e-04
 -2.36386988e-04 -5.20428721e-04  1.02421270e-04 -3.17155144e-05
  4.54149710e-05 -3.06409456e-05  2.85920031e-05]"
15,16,0.49840072111570094,0.49937374581413396,"[ 3.31500882e-04 -7.32749653e-04  4.37295748e-04  7.61994118e-05
  1.55930060e-04  4.71528553e-04 -8.23256994e-04  3.02266036e-04
 -2.36243291e-04 -5.20344938e-04  1.02119812e-04 -3.16529379e-05
  4.52535580e-05 -3.06601901e-05  2.86756075e-05  1.89418567e-05]"
16,17,0.498059576980544,0.49896464911803534,"[ 3.31500966e-04 -7.32751670e-04  4.37281597e-04  7.62025065e-05
  1.55957547e-04  4.71483358e-04 -8.23174608e-04  3.01470568e-04
 -2.36750069e-04 -5.19531911e-04  1.01957038e-04 -3.13104994e-05
  4.47190116e-05 -3.04552457e-05  2.86707682e-05  1.87742810e-05
  7.09319409e-05]"
17,18,0.49803355221340156,0.4989223147240917,"[ 3.31500951e-04 -7.32751371e-04  4.37270045e-04  7.62227939e-05
  1.55945510e-04  4.71497854e-04 -8.23319257e-04  3.01457571e-04
 -2.36970928e-04 -5.19549021e-04  1.01757441e-04 -3.12801476e-05
  4.48017465e-05 -3.06179729e-05  2.87627825e-05  1.87890556e-05
  7.09749059e-05  1.95569717e-05]"
18,19,0.49761310686911775,0.49851282819171444,"[ 3.31500958e-04 -7.32749466e-04  4.37241478e-04  7.62129117e-05
  1.55999404e-04  4.71022698e-04 -8.22067021e-04  3.02603926e-04
 -2.35820575e-04 -5.19352462e-04  1.01833400e-04 -3.10168153e-05
  4.41726534e-05 -3.04018595e-05  2.83465598e-05  1.83483771e-05
  7.09055069e-05  2.00302249e-05  7.89288748e-05]"
