index,elapsed_time,time,temp
0,0.0,770721.359,Arroyo 5240 221021934 v1.50 145
1,30.11,770751.468,23.67
2,60.2,770781.562,23.69
3,90.31,770811.671,23.67
4,120.41,770841.765,23.73
5,150.52,770871.875,23.69
6,180.61,770901.968,23.71
7,210.72,770932.078,23.72
8,240.81,770962.171,23.75
9,270.92,770992.281,23.65
10,301.02,771022.375,23.73
11,331.12,771052.484,23.70
12,361.22,771082.578,23.68
13,391.33,771112.687,23.69
14,421.42,771142.781,23.71
15,451.53,771172.89,23.71
16,481.62,771202.984,23.73
17,511.73,771233.093,23.65
18,541.83,771263.187,23.70
19,571.94,771293.296,23.76
20,602.03,771323.39,23.71
21,632.14,771353.5,23.66
22,662.23,771383.593,23.70
23,692.34,771413.703,23.69
24,722.44,771443.796,23.71
25,752.55,771473.906,23.74
26,782.64,771504.0,23.70
27,812.75,771534.109,23.68
28,842.84,771564.203,23.71
29,872.95,771594.312,23.69
30,903.05,771624.406,23.65
31,933.16,771654.515,23.76
32,963.25,771684.609,23.63
33,993.36,771714.718,23.68
34,1023.45,771744.812,23.68
35,1053.56,771774.921,23.71
36,1083.66,771805.015,23.69
37,1113.77,771835.125,23.72
38,1143.86,771865.218,23.69
39,1173.97,771895.328,23.71
40,1204.06,771925.421,23.68
41,1234.17,771955.531,23.69
42,1264.27,771985.625,23.72
43,1294.38,772015.734,23.77
44,1324.48,772045.843,23.65
45,1354.58,772075.937,23.68
46,1384.67,772106.031,23.67
47,1414.78,772136.14,23.68
48,1444.88,772166.234,23.69
49,1474.98,772196.343,23.72
50,1505.09,772226.453,23.74
51,1535.19,772256.546,23.68
52,1565.28,772286.64,23.72
53,1595.39,772316.75,23.71
54,1625.48,772346.843,23.70
55,1655.59,772376.953,23.70
56,1685.7,772407.062,23.74
57,1715.8,772437.156,23.68
58,1745.91,772467.265,23.67
59,1776.0,772497.359,23.70
60,1806.11,772527.468,23.72
61,1836.2,772557.562,23.72
62,1866.31,772587.671,23.75
63,1896.41,772617.765,23.74
64,1926.52,772647.875,23.72
65,1956.61,772677.968,23.71
66,1986.72,772708.078,23.70
67,2016.81,772738.171,23.64
68,2046.92,772768.281,23.70
69,2077.02,772798.375,23.67
70,2107.12,772828.484,23.68
71,2137.22,772858.578,23.74
72,2167.33,772888.687,23.69
73,2197.42,772918.781,23.68
74,2227.53,772948.89,23.68
75,2257.62,772978.984,23.68
76,2287.73,773009.093,23.68
77,2317.83,773039.187,23.64
78,2347.94,773069.296,23.77
79,2378.03,773099.39,23.73
80,2408.14,773129.5,23.69
81,2438.23,773159.593,23.69
82,2468.34,773189.703,23.75
83,2498.44,773219.796,23.79
84,2528.55,773249.906,23.73
85,2558.64,773280.0,23.69
86,2588.75,773310.109,23.74
