index,elapsed_time,time,temp
0,0.0,19306.984,-1.0255804999999998
1,33.34,19340.328,-1.158137
2,66.69,19373.671,-1.28856359
3,100.25,19407.234,-1.4157757700000002
4,133.59,19440.578,-1.53951001
5,166.94,19473.921,-1.6598975499999997
6,200.28,19507.265,-1.77682815
7,233.64,19540.625,-1.8903719900000002
8,266.98,19573.968,-2.00093957
9,300.33,19607.312,-2.10839888
10,333.67,19640.656,-2.2129859599999997
11,367.02,19674.0,-2.31496526
12,400.38,19707.359,-2.4144056600000003
13,433.72,19740.703,-2.51121821
14,467.06,19774.046,-2.60558042
15,500.41,19807.39,-2.6978293599999996
16,533.77,19840.75,-2.7878734399999994
17,567.11,19874.093,-2.87563176
18,600.45,19907.437,-2.96119715
19,633.8,19940.781,-3.04441861
20,667.14,19974.125,-3.12568725
21,700.5,20007.484,-3.20498846
22,733.84,20040.828,-3.28208855
23,767.19,20074.171,-3.35733896
24,800.53,20107.515,-3.43046936
25,833.88,20140.859,-3.5015387100000006
26,867.23,20174.218,-3.5708142799999996
27,900.58,20207.562,-3.63836638
28,933.92,20240.906,-3.7042935100000003
29,967.27,20274.25,-3.7687036
30,1000.61,20307.593,-3.83181769
31,1033.97,20340.953,-3.8934263799999997
32,1067.31,20374.296,-3.953608010000001
33,1100.66,20407.64,-4.012596629999999
34,1134.0,20440.984,-4.07029173
35,1167.34,20474.328,-4.12653991
36,1200.7,20507.687,-4.181448860000001
37,1234.05,20541.031,-4.2353169799999995
38,1267.39,20574.375,-4.28775743
39,1300.73,20607.718,-4.339099829999999
40,1334.08,20641.062,-4.38932155
41,1367.44,20674.421,-4.43841041
42,1400.78,20707.765,-4.48657271
43,1434.12,20741.109,-4.53146536
44,1467.47,20774.453,-4.58050409
45,1500.81,20807.796,-4.62584504
46,1534.17,20841.156,-4.67013392
47,1567.52,20874.5,-4.713528900000001
48,1600.86,20907.843,-4.7560399
49,1634.2,20941.187,-4.79754207
50,1667.55,20974.531,-4.838077239999999
51,1700.91,21007.89,-4.87753393
52,1734.25,21041.234,-4.91602307
53,1767.59,21074.578,-4.95347156
54,1800.94,21107.921,-4.990032380000001
55,1834.28,21141.265,-5.02595337
56,1867.64,21174.625,-5.06077919
57,1900.98,21207.968,-5.0949523
58,1934.33,21241.312,-5.12844404
59,1967.67,21274.656,-5.161206330000001
60,2001.03,21308.015,-5.193344430000001
61,2034.38,21341.359,-5.22465281
62,2067.72,21374.703,-5.25530793
63,2101.06,21408.046,-5.28512719
64,2134.41,21441.39,-5.31407931
65,2167.77,21474.75,-5.34270701
66,2201.11,21508.093,-5.37049774
67,2234.45,21541.437,-5.39762468
68,2267.8,21574.781,-5.4242425
69,2301.14,21608.125,-5.450249820000001
70,2334.48,21641.468,-5.4756627700000005
71,2367.83,21674.812,-5.500329939999999
72,2401.19,21708.171,-5.52446846
73,2434.53,21741.515,-5.548320260000001
74,2467.88,21774.859,-5.571501270000001
75,2501.22,21808.203,-5.5939777799999995
76,2534.56,21841.546,-5.615923629999999
77,2567.92,21874.906,-5.637196820000001
78,2601.27,21908.25,-5.65791855
79,2634.61,21941.593,-5.67792665
80,2667.95,21974.937,-5.69756546
81,2701.3,22008.281,-5.71680518
82,2734.64,22041.625,-5.735654950000001
83,2768.0,22074.984,-5.75395206
84,2801.34,22108.328,-5.77178114
85,2834.69,22141.671,-5.789125729999999
86,2868.03,22175.015,-5.806131730000001
87,2901.38,22208.359,-5.8226217600000005
88,2934.73,22241.718,-5.838660409999999
89,2968.08,22275.062,-5.85421472
90,3001.42,22308.406,-5.86947091
91,3034.77,22341.75,-5.88415434
92,3068.11,22375.093,-5.8984299899999995
93,3101.47,22408.453,-5.91224923
94,3134.81,22441.796,-5.92571172
95,3168.16,22475.14,-5.9389199900000005
96,3201.5,22508.484,-5.95158024
97,3234.86,22541.843,-5.96387872
98,3268.2,22575.187,-5.97592064
99,3301.55,22608.531,-5.987663110000001
100,3334.89,22641.875,-5.999070270000001
101,3368.23,22675.218,-6.0101416
102,3401.59,22708.578,-6.020824759999999
103,3434.94,22741.921,-6.03123599
104,3468.28,22775.265,-6.04128081
105,3501.62,22808.609,-6.05085274
106,3534.97,22841.953,-6.060211580000001
107,3568.33,22875.312,-6.06925089
108,3601.67,22908.656,-6.0781068000000005
109,3635.02,22942.0,-6.08683154
110,3668.36,22975.343,-6.09506028
111,3701.72,23008.703,-6.10304007
112,3735.06,23042.046,-6.11092564
113,3768.41,23075.39,-6.1185446500000005
114,3801.75,23108.734,-6.125864469999999
115,3835.09,23142.078,-6.132877949999999
116,3868.45,23175.437,-6.13981912
117,3901.8,23208.781,-6.14651192
118,3935.14,23242.125,-6.15309693
119,3968.48,23275.468,-6.15949622
120,4001.83,23308.812,-6.165663
121,4035.19,23342.171,-6.17172972
122,4068.53,23375.515,-6.17742776
123,4101.88,23408.859,-6.18305738
124,4135.22,23442.203,-6.18838661
125,4168.58,23475.562,-6.193639729999999
126,4201.92,23508.906,-6.19881092
127,4235.27,23542.25,-6.203745499999999
128,4268.61,23575.593,-6.2085855500000005
129,4301.95,23608.937,-6.213313619999999
130,4335.31,23642.296,-6.21769697
131,4368.66,23675.64,-6.221964299999999
132,4402.0,23708.984,-6.22614337
133,4435.34,23742.328,-6.230178029999999
134,4468.7,23775.687,-6.23408492
135,4502.05,23809.031,-6.23772749
136,4535.39,23842.375,-6.24119579
137,4568.73,23875.718,-6.24436202
138,4602.08,23909.062,-6.24756298
139,4635.44,23942.421,-6.25077862
140,4668.78,23975.765,-6.2539625899999995
141,4702.12,24009.109,-6.25708272
142,4735.47,24042.453,-6.25989422
143,4768.83,24075.812,-6.26261437
144,4802.17,24109.156,-6.265481970000001
145,4835.52,24142.5,-6.26826202
146,4868.86,24175.843,-6.2708991
147,4902.2,24209.187,-6.27342838
148,4935.56,24242.546,-6.27591552
149,4968.91,24275.89,-6.27852169
150,5002.25,24309.234,-6.28085962
151,5035.59,24342.578,-6.283174740000001
152,5068.95,24375.937,-6.28538287
153,5102.3,24409.281,-6.287609890000001
154,5135.64,24442.625,-6.289718799999999
155,5168.98,24475.968,-6.29177853
156,5202.33,24509.312,-6.29374307
157,5235.69,24542.671,-6.29572779
158,5269.03,24576.015,-6.29776217
159,5302.38,24609.359,-6.29968746
160,5335.72,24642.703,-6.3015107100000005
161,5369.06,24676.046,-6.303198050000001
162,5402.42,24709.406,-6.304995150000002
163,5435.77,24742.75,-6.306782440000001
164,5469.11,24776.093,-6.30838988
165,5502.45,24809.437,-6.30987761
166,5535.81,24842.796,-6.311191969999999
167,5569.16,24876.14,-6.31250838
168,5602.5,24909.484,-6.3138631499999995
169,5635.84,24942.828,-6.31522614
170,5669.19,24976.171,-6.3165637
171,5702.55,25009.531,-6.31799167
172,5735.89,25042.875,-6.31935225
173,5769.23,25076.218,-6.320553640000001
174,5802.58,25109.562,-6.321790139999999
175,5835.94,25142.921,-6.323091310000001
176,5869.28,25176.265,-6.32440228
177,5902.62,25209.609,-6.32580314
178,5935.97,25242.953,-6.32707535
179,5969.31,25276.296,-6.328410750000001
180,6002.67,25309.656,-6.32956097
181,6036.02,25343.0,-6.33062344
182,6069.36,25376.343,-6.331547609999999
183,6102.7,25409.687,-6.33260132
184,6136.05,25443.031,-6.3334657
185,6169.41,25476.39,-6.3343571899999995
186,6202.75,25509.734,-6.33536178
187,6236.09,25543.078,-6.3361528300000005
188,6269.44,25576.421,-6.336955290000001
189,6302.8,25609.781,-6.33787007
190,6336.14,25643.125,-6.3388086800000005
191,6369.48,25676.468,-6.33988672
192,6402.83,25709.812,-6.3405947099999995
193,6436.19,25743.171,-6.34126125
