index,elapsed_time,time,resistance
0,0.0,9899.015,-5.908505459999999
1,61.69,9960.703,-5.977430979999999
2,123.36,10022.375,-6.043405760000001
3,185.05,10084.062,-6.1071418799999995
4,246.74,10145.75,-6.16880808
5,308.41,10207.421,-6.2286239000000005
6,370.09,10269.109,-6.28650152
7,431.78,10330.796,-6.3425251000000005
8,493.45,10392.468,-6.39673036
9,555.14,10454.156,-6.449183239999999
10,616.83,10515.843,-6.499910300000001
11,678.5,10577.515,-6.549058339999999
12,740.19,10639.203,-6.596633079999999
13,801.88,10700.89,-6.64266642
14,863.55,10762.562,-6.68725266
15,925.24,10824.25,-6.730492580000001
16,986.92,10885.937,-6.772376599999999
17,1048.59,10947.609,-4.0758077018000005
18,1111.19,11010.203,-0.29636692
19,1173.08,11072.093,-0.553380694
20,1234.77,11133.781,-0.795402614
21,1296.44,11195.453,-1.02776354
22,1358.12,11257.14,-1.25260076
23,1420.02,11319.031,-1.46883688
24,1481.7,11380.718,-1.67741434
25,1543.38,11442.39,-1.87788328
26,1605.06,11504.078,-2.0708849799999998
27,1666.75,11565.765,-2.25723064
28,1728.44,11627.453,-2.43753224
29,1790.11,11689.125,-2.6119995400000002
30,1851.8,11750.812,-2.7812755
31,1913.47,11812.484,-2.94570002
32,1975.16,11874.171,-3.1049048200000002
33,2036.84,11935.859,-3.2591379799999998
34,2098.52,11997.531,-3.4081806799999996
35,2160.2,12059.218,-3.5521352399999997
36,2221.88,12120.89,-3.6916899799999996
37,2283.56,12182.578,-3.8273581
38,2345.25,12244.265,-3.9595894
39,2406.92,12305.937,-4.0883161999999995
40,2468.61,12367.625,-4.21362532
41,2530.28,12429.296,-4.335483479999999
42,2591.97,12490.984,-4.4541066
43,2653.66,12552.671,-4.56957588
44,2715.33,12614.343,-4.68208016
45,2777.02,12676.031,-4.791508240000001
46,2838.7,12737.718,-4.8982639599999995
47,2900.38,12799.39,-5.002057120000001
48,2962.06,12861.078,-5.1031227
49,3023.74,12922.75,-5.20166746
50,3085.42,12984.437,-5.29775832
51,3147.11,13046.125,-5.39111576
52,3208.78,13107.796,-5.4819923600000005
53,3270.47,13169.484,-5.57070984
54,3332.16,13231.171,-5.656829839999999
55,3393.83,13292.843,-5.740595060000001
56,3455.52,13354.531,-5.821924560000001
57,3517.2,13416.218,-5.90106784
58,3578.88,13477.89,-5.97785602
59,3640.56,13539.578,-6.05237458
60,3702.24,13601.25,-6.124701320000001
61,3763.92,13662.937,-6.194603280000001
62,3825.61,13724.625,-6.26225472
63,3887.28,13786.296,-6.32756902
64,3948.97,13847.984,-6.3906315
65,4010.66,13909.671,-6.4516620200000006
66,4072.33,13971.343,-6.51057208
67,4134.02,14033.031,-6.5674372199999995
68,4195.7,14094.718,-6.622211760000001
69,4257.38,14156.39,-6.67521994
70,4319.06,14218.078,-6.726399240000001
71,4380.74,14279.75,-6.775661640000001
72,4442.42,14341.437,-6.823088320000001
73,4504.11,14403.125,-6.868984019999999
74,4565.78,14464.796,-6.91344058
75,4627.47,14526.484,-6.9562072399999995
76,4689.14,14588.156,-6.99766194
77,4750.83,14649.843,-7.037437219999999
78,4812.52,14711.531,-7.07606408
79,4874.19,14773.203,-7.1133294000000005
80,4935.88,14834.89,-7.14929526
81,4997.56,14896.578,-7.18407122
82,5059.24,14958.25,-7.21755294
83,5120.92,15019.937,-7.24981342
84,5182.59,15081.609,-7.281015819999999
85,5244.28,15143.296,-7.31129976
86,5305.97,15204.984,-7.34039478
87,5367.64,15266.656,-7.36864708
88,5429.33,15328.343,-7.39599478
89,5491.02,15390.031,-7.42238722
90,5552.69,15451.703,-7.44787372
91,5614.38,15513.39,-7.472441339999999
92,5676.05,15575.062,-7.49606988
93,5737.74,15636.75,-7.518860720000001
94,5799.42,15698.437,-7.541049480000001
95,5861.09,15760.109,-7.56228268
96,5922.78,15821.796,-7.58287844
97,5984.47,15883.484,-7.60269936
98,6046.14,15945.156,-7.62176066
99,6107.83,16006.843,-7.640186220000001
100,6169.52,16068.531,-7.6580046600000005
101,6231.19,16130.203,-7.675369239999999
102,6292.88,16191.89,-7.692110559999999
103,6354.55,16253.562,-7.708511660000001
104,6416.24,16315.25,-7.724047539999999
105,6477.92,16376.937,-7.739039719999999
106,6539.61,16438.625,-7.753651639999999
107,6601.28,16500.296,-7.7678160599999995
108,6662.97,16561.984,-7.7815911600000005
109,6724.66,16623.671,-7.794916459999999
110,6786.33,16685.343,-7.8077650599999995
111,6848.02,16747.031,-7.820210639999999
112,6909.7,16808.718,-7.83227026
113,6971.38,16870.39,-7.84389782
114,7033.06,16932.078,-7.8553422600000005
115,7094.75,16993.765,-7.8661693999999995
116,7156.42,17055.437,-7.8767985
117,7218.11,17117.125,-7.886939700000001
118,7279.8,17178.812,-7.89680824
119,7341.47,17240.484,-7.9065709
120,7403.16,17302.171,-7.91601642
121,7464.84,17363.859,-7.925137459999999
122,7526.52,17425.531,-7.93393886
123,7588.2,17487.218,-7.94235288
124,7649.89,17548.906,-7.95055144
125,7711.56,17610.578,-7.95851456
126,7773.25,17672.265,-7.96631026
127,7834.94,17733.953,-7.9739762999999995
128,7896.61,17795.625,-7.981476979999999
129,7958.3,17857.312,-7.9887585
130,8019.97,17918.984,-7.99580048
131,8081.66,17980.671,-8.00249896
132,8143.34,18042.359,-8.009035359999999
133,8205.02,18104.031,-8.01510744
134,8266.7,18165.718,-8.02113216
135,8328.39,18227.406,-8.02695524
136,8390.06,18289.078,-8.03260992
137,8451.75,18350.765,-8.03813462
138,8513.44,18412.453,-8.043721640000001
139,8575.11,18474.125,-8.04924422
140,8636.8,18535.812,-8.05436618
141,8698.48,18597.5,-8.05931754
142,8760.16,18659.171,-8.06423306
143,8821.84,18720.859,-8.06873154
144,8883.53,18782.546,-8.073328159999999
145,8945.2,18844.218,-8.07779434
146,9006.89,18905.906,-8.08220898
147,9068.58,18967.593,-8.086637399999999
148,9130.25,19029.265,-8.090970219999999
149,9191.94,19090.953,-8.095188400000001
150,9253.61,19152.625,-8.099156840000001
151,9315.3,19214.312,-8.102915040000001
152,9376.98,19276.0,-8.106668440000002
153,9438.66,19337.671,-8.11050666
154,9500.34,19399.359,-8.11432796
155,9562.03,19461.046,-8.1179372
156,9623.7,19522.718,-8.12121488
