,elapsed_time,time_stepped,temperature
0,0.0,623899.703,23.54
1,30.11,623929.812,23.53
2,60.2,623959.906,23.52
3,90.31,623990.015,23.56
4,120.41,624020.109,23.51
5,150.52,624050.218,23.55
6,180.61,624080.312,23.52
7,210.72,624110.421,23.59
8,240.81,624140.515,23.66
9,270.92,624170.625,23.59
10,301.02,624200.718,23.58
11,331.12,624230.828,23.54
12,361.22,624260.921,23.54
13,391.33,624291.031,23.54
14,421.42,624321.125,23.54
15,451.53,624351.234,23.54
16,481.62,624381.328,23.52
17,511.73,624411.437,23.54
18,541.83,624441.531,23.53
19,571.94,624471.64,23.51
20,602.03,624501.734,23.57
21,632.14,624531.843,23.51
22,662.23,624561.937,23.59
23,692.34,624592.046,23.55
24,722.44,624622.14,23.55
25,752.55,624652.25,23.52
26,782.64,624682.343,23.52
27,812.75,624712.453,23.51
28,842.84,624742.546,23.53
29,872.95,624772.656,23.56
30,903.05,624802.75,23.55
31,933.16,624832.859,23.56
32,963.25,624862.953,23.51
33,993.36,624893.062,23.68
34,1023.45,624923.156,23.61
35,1053.56,624953.265,23.58
36,1083.66,624983.359,23.58
37,1113.77,625013.468,23.57
38,1143.86,625043.562,23.51
39,1173.97,625073.671,23.63
40,1204.06,625103.765,23.55
41,1234.17,625133.875,23.51
42,1264.27,625163.968,23.55
43,1294.38,625194.078,23.51
44,1324.47,625224.171,23.60
45,1354.58,625254.281,23.57
46,1384.67,625284.375,23.58
47,1414.78,625314.484,23.52
48,1444.88,625344.578,23.48
49,1474.98,625374.687,23.54
50,1505.08,625404.781,23.51
51,1535.19,625434.89,23.51
52,1565.28,625464.984,23.53
53,1595.39,625495.093,23.61
54,1625.48,625525.187,23.51
55,1655.59,625555.296,23.53
56,1685.69,625585.39,23.52
57,1715.8,625615.5,23.55
58,1745.89,625645.593,23.53
59,1776.0,625675.703,23.50
60,1806.09,625705.796,23.56
61,1836.2,625735.906,23.52
62,1866.3,625766.0,23.50
63,1896.41,625796.109,23.50
64,1926.52,625826.218,23.49
65,1956.61,625856.312,23.54
66,1986.72,625886.421,23.50
67,2016.81,625916.515,23.55
68,2046.92,625946.625,23.56
69,2077.02,625976.718,23.50
70,2107.11,626006.812,23.58
71,2137.22,626036.921,23.59
72,2167.31,626067.015,23.49
73,2197.42,626097.125,23.56
74,2227.52,626127.218,23.49
75,2257.62,626157.328,23.49
76,2287.72,626187.421,23.52
77,2317.83,626217.531,23.53
78,2347.92,626247.625,23.55
79,2378.03,626277.734,23.53
80,2408.12,626307.828,23.53
81,2438.23,626337.937,23.55
82,2468.33,626368.031,23.54
83,2498.44,626398.14,23.57
84,2528.53,626428.234,23.60
85,2558.64,626458.343,23.50
86,2588.73,626488.437,23.55
87,2618.84,626518.546,23.52
88,2648.94,626548.64,23.56
89,2679.05,626578.75,23.54
90,2709.14,626608.843,23.61
91,2739.25,626638.953,23.55
92,2769.34,626669.046,23.53
93,2799.45,626699.156,23.54
94,2829.55,626729.25,23.53
95,2859.66,626759.359,23.49
96,2889.75,626789.453,23.53
97,2919.86,626819.562,23.56
98,2949.95,626849.656,23.51
99,2980.06,626879.765,23.53
100,3010.16,626909.859,23.51
101,3040.27,626939.968,23.52
102,3070.36,626970.062,23.52
103,3100.47,627000.171,23.53
104,3130.56,627030.265,23.51
105,3160.67,627060.375,23.48
106,3190.77,627090.468,23.50
107,3220.88,627120.578,23.47
108,3250.97,627150.671,23.47
109,3281.08,627180.781,23.55
110,3311.17,627210.875,23.49
111,3341.28,627240.984,23.52
112,3371.38,627271.078,23.59
113,3401.48,627301.187,23.51
114,3431.58,627331.281,23.49
115,3461.69,627361.39,23.48
116,3491.78,627391.484,23.49
117,3521.89,627421.593,23.46
118,3551.98,627451.687,23.50
119,3582.09,627481.796,23.56
