elapsed_time,time_step,resistance
0.0,583058.312,-2.4599763599999998
61.7,583120.015,-2.33117084
123.39,583181.703,-2.27190348
185.09,583243.406,-2.2388220999999997
246.83,583305.14,-2.22344384
308.5,583366.812,-2.21429338
370.19,583428.5,-2.2101717
431.89,583490.203,-2.2064563
493.58,583551.89,-2.20386276
555.28,583613.593,-2.2030524600000003
617.02,583675.328,-2.20473286
678.72,583737.031,-2.2051963999999997
740.41,583798.718,-2.2063428400000005
802.09,583860.406,-2.20538128
863.78,583922.093,-2.20681828
925.47,583983.781,-2.2083043800000004
987.22,584045.531,-2.20912352
1048.95,584107.265,-2.20850322
1110.64,584168.953,-2.2071333799999997
1172.39,584230.703,-2.2082835800000002
1234.09,584292.406,-2.20827472
1295.78,584354.093,-2.20805436
1357.48,584415.796,-2.21033786
1419.19,584477.5,-2.21140776
1480.92,584539.234,-2.21159166
1542.67,584600.984,-2.21255396
1604.38,584662.687,-2.21196276
1666.06,584724.375,-2.2116132
1727.77,584786.078,-2.2125798000000003
1789.52,584847.828,-2.21103542
1851.27,584909.578,-2.20999992
1912.98,584971.296,-2.2084173399999996
1974.73,585033.046,-2.20919926
2036.48,585094.796,-2.20992952
2098.22,585156.531,-2.21187258
2159.97,585218.281,-2.2117477
2221.66,585279.968,-2.21189894
2283.36,585341.671,-2.2132593799999993
2345.05,585403.359,-2.2131413799999997
2406.78,585465.093,-2.2137110400000006
2468.48,585526.796,-2.2135633599999998
2530.17,585588.484,-2.21336832
2591.86,585650.171,-2.21279864
2653.56,585711.875,-2.2118419400000002
2715.3,585773.609,-2.21068008
2777.02,585835.328,0.048005237
2837.42,585895.734,-0.41324693
2898.06,585956.375,-0.656909
2958.45,586016.765,-0.86972051
3018.81,586077.125,-1.0600666
3079.22,586137.531,-1.224396
3139.8,586198.109,-1.3745482
3200.23,586258.546,-1.5040019
3260.59,586318.906,-1.6163465
3320.97,586379.281,-1.7128686
3381.41,586439.718,-1.7968058
3441.77,586500.078,-1.8669937
3502.19,586560.5,-1.925721
3562.55,586620.859,-1.9742823
